Out { op1: I(0) } => Output(0), relative base = 643, pc = 323
Out { op1: R(-1) } => Output(0), relative base = 756, pc = 477
Out { op1: P(472) } => Output(1), relative base = 756, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 751, pc = 477
Out { op1: P(469) } => Output(1), relative base = 751, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 746, pc = 477
Out { op1: P(470) } => Output(0), relative base = 746, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 741, pc = 477
Out { op1: P(471) } => Output(0), relative base = 741, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 736, pc = 477
Out { op1: P(472) } => Output(1), relative base = 736, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 731, pc = 477
Out { op1: P(469) } => Output(1), relative base = 731, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 726, pc = 477
Out { op1: P(470) } => Output(0), relative base = 726, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 721, pc = 477
Out { op1: P(471) } => Output(0), relative base = 721, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 716, pc = 477
Out { op1: P(472) } => Output(1), relative base = 716, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 711, pc = 477
Out { op1: P(469) } => Output(1), relative base = 711, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 706, pc = 477
Out { op1: P(470) } => Output(0), relative base = 706, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 701, pc = 477
Out { op1: P(471) } => Output(0), relative base = 701, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 696, pc = 477
Out { op1: P(472) } => Output(1), relative base = 696, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 691, pc = 477
Out { op1: P(469) } => Output(1), relative base = 691, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 686, pc = 477
Out { op1: P(470) } => Output(0), relative base = 686, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 681, pc = 477
Out { op1: P(471) } => Output(0), relative base = 681, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 676, pc = 477
Out { op1: P(472) } => Output(1), relative base = 676, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 671, pc = 477
Out { op1: P(469) } => Output(1), relative base = 671, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 666, pc = 477
Out { op1: P(470) } => Output(0), relative base = 666, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 661, pc = 477
Out { op1: P(471) } => Output(0), relative base = 661, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 656, pc = 477
Out { op1: P(472) } => Output(1), relative base = 656, pc = 483
Out { op1: I(0) } => Output(0), relative base = 643, pc = 351
Out { op1: I(1) } => Output(1), relative base = 643, pc = 353
Out { op1: I(0) } => Output(0), relative base = 643, pc = 357
Out { op1: I(0) } => Output(0), relative base = 643, pc = 359
Out { op1: I(0) } => Output(0), relative base = 643, pc = 363
Out { op1: I(1) } => Output(1), relative base = 643, pc = 365
Out { op1: I(0) } => Output(0), relative base = 643, pc = 369
Out { op1: I(1) } => Output(1), relative base = 643, pc = 371
Out { op1: I(0) } => Output(0), relative base = 643, pc = 375
Out { op1: I(0) } => Output(0), relative base = 643, pc = 377
Out { op1: I(0) } => Output(0), relative base = 643, pc = 381
Out { op1: I(1) } => Output(1), relative base = 643, pc = 383
Out { op1: R(-1) } => Output(0), relative base = 851, pc = 477
Out { op1: P(469) } => Output(1), relative base = 851, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 846, pc = 477
Out { op1: P(470) } => Output(0), relative base = 846, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 841, pc = 477
Out { op1: P(471) } => Output(0), relative base = 841, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 836, pc = 477
Out { op1: P(472) } => Output(1), relative base = 836, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 831, pc = 477
Out { op1: P(469) } => Output(1), relative base = 831, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 826, pc = 477
Out { op1: P(470) } => Output(0), relative base = 826, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 821, pc = 477
Out { op1: P(471) } => Output(0), relative base = 821, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 816, pc = 477
Out { op1: P(472) } => Output(1), relative base = 816, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 811, pc = 477
Out { op1: P(469) } => Output(1), relative base = 811, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 806, pc = 477
Out { op1: P(470) } => Output(0), relative base = 806, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 801, pc = 477
Out { op1: P(471) } => Output(0), relative base = 801, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 796, pc = 477
Out { op1: P(472) } => Output(1), relative base = 796, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 791, pc = 477
Out { op1: P(469) } => Output(1), relative base = 791, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 786, pc = 477
Out { op1: P(470) } => Output(0), relative base = 786, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 781, pc = 477
Out { op1: P(471) } => Output(0), relative base = 781, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 776, pc = 477
Out { op1: P(472) } => Output(1), relative base = 776, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 771, pc = 477
Out { op1: P(469) } => Output(1), relative base = 771, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 766, pc = 477
Out { op1: P(470) } => Output(0), relative base = 766, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 761, pc = 477
Out { op1: P(471) } => Output(0), relative base = 761, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 756, pc = 477
Out { op1: P(472) } => Output(1), relative base = 756, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 751, pc = 477
Out { op1: P(469) } => Output(1), relative base = 751, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 746, pc = 477
Out { op1: P(470) } => Output(0), relative base = 746, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 741, pc = 477
Out { op1: P(471) } => Output(0), relative base = 741, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 736, pc = 477
Out { op1: P(472) } => Output(1), relative base = 736, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 731, pc = 477
Out { op1: P(469) } => Output(1), relative base = 731, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 726, pc = 477
Out { op1: P(470) } => Output(0), relative base = 726, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 721, pc = 477
Out { op1: P(471) } => Output(0), relative base = 721, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 716, pc = 477
Out { op1: P(472) } => Output(1), relative base = 716, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 711, pc = 477
Out { op1: P(469) } => Output(1), relative base = 711, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 706, pc = 477
Out { op1: P(470) } => Output(0), relative base = 706, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 701, pc = 477
Out { op1: P(471) } => Output(0), relative base = 701, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 696, pc = 477
Out { op1: P(472) } => Output(1), relative base = 696, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 691, pc = 477
Out { op1: P(469) } => Output(1), relative base = 691, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 686, pc = 477
Out { op1: P(470) } => Output(0), relative base = 686, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 681, pc = 477
Out { op1: P(471) } => Output(0), relative base = 681, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 676, pc = 477
Out { op1: P(472) } => Output(1), relative base = 676, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 671, pc = 477
Out { op1: P(469) } => Output(1), relative base = 671, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 666, pc = 477
Out { op1: P(470) } => Output(0), relative base = 666, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 661, pc = 477
Out { op1: P(471) } => Output(0), relative base = 661, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 656, pc = 477
Out { op1: P(472) } => Output(1), relative base = 656, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 851, pc = 477
Out { op1: P(469) } => Output(1), relative base = 851, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 846, pc = 477
Out { op1: P(470) } => Output(0), relative base = 846, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 841, pc = 477
Out { op1: P(471) } => Output(0), relative base = 841, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 836, pc = 477
Out { op1: P(472) } => Output(1), relative base = 836, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 831, pc = 477
Out { op1: P(469) } => Output(1), relative base = 831, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 826, pc = 477
Out { op1: P(470) } => Output(0), relative base = 826, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 821, pc = 477
Out { op1: P(471) } => Output(0), relative base = 821, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 816, pc = 477
Out { op1: P(472) } => Output(1), relative base = 816, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 811, pc = 477
Out { op1: P(469) } => Output(1), relative base = 811, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 806, pc = 477
Out { op1: P(470) } => Output(0), relative base = 806, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 801, pc = 477
Out { op1: P(471) } => Output(0), relative base = 801, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 796, pc = 477
Out { op1: P(472) } => Output(1), relative base = 796, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 791, pc = 477
Out { op1: P(469) } => Output(1), relative base = 791, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 786, pc = 477
Out { op1: P(470) } => Output(0), relative base = 786, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 781, pc = 477
Out { op1: P(471) } => Output(0), relative base = 781, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 776, pc = 477
Out { op1: P(472) } => Output(1), relative base = 776, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 771, pc = 477
Out { op1: P(469) } => Output(1), relative base = 771, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 766, pc = 477
Out { op1: P(470) } => Output(0), relative base = 766, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 761, pc = 477
Out { op1: P(471) } => Output(0), relative base = 761, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 756, pc = 477
Out { op1: P(472) } => Output(1), relative base = 756, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 751, pc = 477
Out { op1: P(469) } => Output(1), relative base = 751, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 746, pc = 477
Out { op1: P(470) } => Output(0), relative base = 746, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 741, pc = 477
Out { op1: P(471) } => Output(0), relative base = 741, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 736, pc = 477
Out { op1: P(472) } => Output(1), relative base = 736, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 731, pc = 477
Out { op1: P(469) } => Output(1), relative base = 731, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 726, pc = 477
Out { op1: P(470) } => Output(0), relative base = 726, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 721, pc = 477
Out { op1: P(471) } => Output(0), relative base = 721, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 716, pc = 477
Out { op1: P(472) } => Output(1), relative base = 716, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 711, pc = 477
Out { op1: P(469) } => Output(1), relative base = 711, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 706, pc = 477
Out { op1: P(470) } => Output(0), relative base = 706, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 701, pc = 477
Out { op1: P(471) } => Output(0), relative base = 701, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 696, pc = 477
Out { op1: P(472) } => Output(1), relative base = 696, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 691, pc = 477
Out { op1: P(469) } => Output(1), relative base = 691, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 686, pc = 477
Out { op1: P(470) } => Output(0), relative base = 686, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 681, pc = 477
Out { op1: P(471) } => Output(0), relative base = 681, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 676, pc = 477
Out { op1: P(472) } => Output(1), relative base = 676, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 671, pc = 477
Out { op1: P(469) } => Output(1), relative base = 671, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 666, pc = 477
Out { op1: P(470) } => Output(0), relative base = 666, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 661, pc = 477
Out { op1: P(471) } => Output(0), relative base = 661, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 656, pc = 477
Out { op1: P(472) } => Output(1), relative base = 656, pc = 483
Out { op1: I(0) } => Output(0), relative base = 643, pc = 409
Out { op1: I(0) } => Output(0), relative base = 643, pc = 411
Out { op1: I(0) } => Output(0), relative base = 643, pc = 415
Out { op1: I(0) } => Output(0), relative base = 643, pc = 417
Out { op1: R(-1) } => Output(1), relative base = 851, pc = 477
Out { op1: P(469) } => Output(1), relative base = 851, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 846, pc = 477
Out { op1: P(470) } => Output(0), relative base = 846, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 841, pc = 477
Out { op1: P(471) } => Output(0), relative base = 841, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 836, pc = 477
Out { op1: P(472) } => Output(1), relative base = 836, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 831, pc = 477
Out { op1: P(469) } => Output(1), relative base = 831, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 826, pc = 477
Out { op1: P(470) } => Output(0), relative base = 826, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 821, pc = 477
Out { op1: P(471) } => Output(0), relative base = 821, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 816, pc = 477
Out { op1: P(472) } => Output(1), relative base = 816, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 811, pc = 477
Out { op1: P(469) } => Output(1), relative base = 811, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 806, pc = 477
Out { op1: P(470) } => Output(0), relative base = 806, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 801, pc = 477
Out { op1: P(471) } => Output(0), relative base = 801, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 796, pc = 477
Out { op1: P(472) } => Output(1), relative base = 796, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 791, pc = 477
Out { op1: P(469) } => Output(1), relative base = 791, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 786, pc = 477
Out { op1: P(470) } => Output(0), relative base = 786, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 781, pc = 477
Out { op1: P(471) } => Output(0), relative base = 781, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 776, pc = 477
Out { op1: P(472) } => Output(1), relative base = 776, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 771, pc = 477
Out { op1: P(469) } => Output(1), relative base = 771, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 766, pc = 477
Out { op1: P(470) } => Output(0), relative base = 766, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 761, pc = 477
Out { op1: P(471) } => Output(0), relative base = 761, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 756, pc = 477
Out { op1: P(472) } => Output(1), relative base = 756, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 751, pc = 477
Out { op1: P(469) } => Output(1), relative base = 751, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 746, pc = 477
Out { op1: P(470) } => Output(0), relative base = 746, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 741, pc = 477
Out { op1: P(471) } => Output(0), relative base = 741, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 736, pc = 477
Out { op1: P(472) } => Output(1), relative base = 736, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 731, pc = 477
Out { op1: P(469) } => Output(1), relative base = 731, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 726, pc = 477
Out { op1: P(470) } => Output(0), relative base = 726, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 721, pc = 477
Out { op1: P(471) } => Output(0), relative base = 721, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 716, pc = 477
Out { op1: P(472) } => Output(1), relative base = 716, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 711, pc = 477
Out { op1: P(469) } => Output(1), relative base = 711, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 706, pc = 477
Out { op1: P(470) } => Output(0), relative base = 706, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 701, pc = 477
Out { op1: P(471) } => Output(0), relative base = 701, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 696, pc = 477
Out { op1: P(472) } => Output(1), relative base = 696, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 691, pc = 477
Out { op1: P(469) } => Output(1), relative base = 691, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 686, pc = 477
Out { op1: P(470) } => Output(0), relative base = 686, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 681, pc = 477
Out { op1: P(471) } => Output(0), relative base = 681, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 676, pc = 477
Out { op1: P(472) } => Output(1), relative base = 676, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 671, pc = 477
Out { op1: P(469) } => Output(1), relative base = 671, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 666, pc = 477
Out { op1: P(470) } => Output(0), relative base = 666, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 661, pc = 477
Out { op1: P(471) } => Output(0), relative base = 661, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 656, pc = 477
Out { op1: P(472) } => Output(1), relative base = 656, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 851, pc = 477
Out { op1: P(469) } => Output(1), relative base = 851, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 846, pc = 477
Out { op1: P(470) } => Output(0), relative base = 846, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 841, pc = 477
Out { op1: P(471) } => Output(0), relative base = 841, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 836, pc = 477
Out { op1: P(472) } => Output(1), relative base = 836, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 831, pc = 477
Out { op1: P(469) } => Output(1), relative base = 831, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 826, pc = 477
Out { op1: P(470) } => Output(0), relative base = 826, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 821, pc = 477
Out { op1: P(471) } => Output(0), relative base = 821, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 816, pc = 477
Out { op1: P(472) } => Output(1), relative base = 816, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 811, pc = 477
Out { op1: P(469) } => Output(1), relative base = 811, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 806, pc = 477
Out { op1: P(470) } => Output(0), relative base = 806, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 801, pc = 477
Out { op1: P(471) } => Output(0), relative base = 801, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 796, pc = 477
Out { op1: P(472) } => Output(1), relative base = 796, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 791, pc = 477
Out { op1: P(469) } => Output(1), relative base = 791, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 786, pc = 477
Out { op1: P(470) } => Output(0), relative base = 786, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 781, pc = 477
Out { op1: P(471) } => Output(0), relative base = 781, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 776, pc = 477
Out { op1: P(472) } => Output(1), relative base = 776, pc = 483
Out { op1: R(-1) } => Output(1), relative base = 771, pc = 477
Out { op1: P(469) } => Output(1), relative base = 771, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 766, pc = 477
Out { op1: P(470) } => Output(0), relative base = 766, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 761, pc = 477
Out { op1: P(471) } => Output(0), relative base = 761, pc = 483
Out { op1: R(-1) } => Output(0), relative base = 756, pc = 477
Out { op1: P(472) } => Output(1), relative base = 756, pc = 483
